jagħmilhom	does	يَا
kommedja	comedy	كوميديا
tiskorja	discharge	الإفراج
gusta	taste	طعم
Qajla	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
krudili	Cruel	قاسية
ħibs	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
pudenda	Pudding	البودين
Peter	The following is the list of the countries of the European Union:	هُوَ القائِمْ مِنْ البِلادْ مْتَاعْ الاتِّحادْ الأ
fejnu	where	وِين
iċempilli	offspring	نْسَالْ
kaspru	Casper	كاسبر
ħabta	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Segretarji	Secretaries	كِتَارِي
veritas	the following:	المعلومات التالية:
ħoll	salt	المالح
imqaxxra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nfusna	ourselves	نحن نفسنا
of	of	من
qallu	said	قيل
ġejsin	coming	جاية
nosservawha	observe it	تَبْقَى
parkeġġ	Parking	موقف السيارات
fil-	in the	في
minuta	Minutes	المعلومات
konniex	known	المعرف
magħmulin	Manufacture from materials of any heading	صَنْعِة مِالمِتْعَاوِنْ مِنْ أَيْ م
sqallija	weight	وزن
ġorġ	George	جورج
ninbidlu	change	تغييرات
rriċerkajniehx	research	البحوث
omm	mother	امة
suċċessi	Successors	خليفة
kelmiet	words	الكلمات
affari	the following:	المعلومات التالية:
jaħtafha	seizure	المزاعم
ġdida	new	جدد
tellgħua	the following:	المعلومات التالية:
pala	a pallet	بليط
Normalment	Usually	عادة
Laburisti	Labourers	العمال
nistaqsiha	I ask her	نَسْألْهَا
involuta	involved	متورطين
naħilfilkom	I'll be with you	بَاشْ نْكُونْ مْعَاكْ
aerial	Aircraft	طائرات
jfakkruni	reminds me	يذكّرني
copy	copy	كُلْ
Stalin	Stalin	ستالين
rajtha	I saw her	شُفْتْهَا
kwart'	quarter of	ربع من
ċari	clear	واضحة
isolvi	solvents	المُسَالِين
media	media	الإعلام
eżawrejtx	not exhausted	ما يُفْنَى
jarani	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
misħraħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sengħet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Antonia	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
skorruti	Unwrought	مَا فِيهِشْ صَنْعَة
sħiħa	whole	الكامل
Bernard	Bernard	برنارد
for	for	ل
vojta	empty	فاضي
Lang	Other	مَا عِنْدُو
saqajhom	feet	قاعدين
għarfu	the knowledge	المعرفة
firxa	range	نطاق
iddiżappuntanti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
pitgħada	the following day	لليوم التالي
tbissmilhom	washing them	غسيلهم
Amy	Amy	إيمي
irreżistejt	resisted	قاومت
togħġbok	please	يعيشك
tfejqu	healing	الشفاء
temminnix	do not believe	مَا تِمّْنُوشْ
spjega	explain	شرحي
Nafhom	I know	نَعْرِفْ
deżert	desert	صحراء
partikolari	particular	خاصة
handball	handball	كرة اليد
ġenwinità	genuineness	صادقية
jafom	know	نعرف
ittarraxlek	I'll give you a break	بَاشْ نَعْطِيكْ كَفَّة
bordijiet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Carmeli	Carmelites	الكرمليت
Komplejna	We have completed	نَحْنَا نَكْمِلُوا
eqqel	the following:	المعلومات التالية:
qabżuni	the following:	المعلومات التالية:
wasslu	resulted	نتجوا
jolfoq	Other	مَا عِنْدُو
nagħmlilkom	I will make you	بَاشْ نَجْعِلْكْ
tmiemha	end of the period	نهاية المدة
tiġbor	to collect	ليكليف
skultura	sculpture	النحو
rispons	response	ردة فعل
tħabat	the following:	المعلومات التالية:
żmenijiet	time	وقت
berġa	a weight of not more than 0,5%	مِنْ غِيرْ مَا يُقْصُدْ
naqqsilha	cutting it	كَانْ يُقْطُعْ
indawru	yellow	صفر
argument	the argument	الحجة
ħaditu	received	تلقى
ħafjin	sheep	غنم
jibda	starts	يبدأ
isaffar	the ship	السفن
jużawhom	use them	استخدموهم
mad	with	مع
leave	leave	خُذْ
Bażilju	Basil	الباسيلي
wassalha	caused	سبب
Association	The following table shows the results of the evaluation:	الجدول التالي يظهر النتائج مِالتقييم:
seklu	century	القرن
taret	the following:	المعلومات التالية:
żoni	areas	مناطق
inkwiżizzjoni	Inquisition	الإستماع
rose	rose	الورود
goffa	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
miżura	measure	تدبير
deep	deep	عمق
board	board	لورقة
tbexxaq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
politka	policy	سياسة
efford	efford	إيففورد
Club	Club	نادي
jafuh	know	نعرف
kamra	room	غرفة
lilha	to her	ليها
ħawdet	mixed	مُخَلَّطَة
kienx	was	كان
Wara	After	بعد
mirżuħ	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
lukanda	hotel	فندق
maskilinità	male and female	الذكور و الإناث
jissemgħu	to hear	نسمع
ix-	the	المشاركة
ħarja	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
jibqax	remaining	بقايا
jisħnu	heat	الحرارة
maintenance	maintenance	صيانة
pruwa	Manufacture of coal	صناعة الفحم
titqies	be taken into account	يُعْطَى لِلنَّاسْ
leħinha	the following information is provided:	المعلومات التالية:
ddawwar	rotating	تدور
villa	Villa	فيلا
klassifikazzjoni	classification	التصنيف
nifhmuh	understanding	فهمة
infestat	infected	المصابين
jipprattikaw	practice	الممارسة
ppjanar	planning	تخطيط
individwu	individual	فردية
kuruna	crown	كروة
kuljum	daily	كليوم
waqgħet	fell	طاح
ħalliehom	leave them	خليهم
bilanċjata	Balanced	متوازنة
Għandha	It shall:	يَعْطِيهْ:
Lilu	Other	مَا عِنْدُو
imtebba'	the following'	المعلومات التالية"
goff	goff	غاف
jagħsru	cutting	القص
bonġu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
insemmi	name	اسم
negħlbuhom	defeat them	هزيمتهم
ventilaturi	Other, of a kind used for the manufacture of motor vehicles	وِلاَّ مِنْ النَّوْعْ مْتَاعْ المَصْنَعْ
muskettierija	Musketing	مُوسكي
jimi	days	أيام
kkunsidrati	Considered	يُفْهُمْ
klijenti	customers	العملاء
prominenza	prominence	المُتَعَلِّمْ
recruitment	the recruitment	الموظفين
resaq	food	الغذاء
alwetta	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
speak	speak	كلمو
għamilnieh	we did	فعلنا
twaqqafx	not stopped	ما يُوقفي
neqsin	of which:	مِنْهُمْ:
Palazz	The building	البناية
barbaġann	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kellu	had	كان
sbuħija	beauty	جمالة
heal	heal	تُشْفَى
jħalluħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ċaqquf	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
irrelevanti	unrelated	مَا عِنْدُوشْ صَاحِبْ
jiftaħli	open	مفتوح
Mark	Mark	مارك
widdbu	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
Knisja	Church	كنيسة
jitpoġġew	are placed	يُوضعون
Stqarrijiet	The Commission shall adopt implementing acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهْ القُرْبَة مْتَاع
spallti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jesponu	Exposure	المكشوفات
jinvesti	invests	استثمارات
jdoqqu	the following:	المعلومات التالية:
Franz	French	فرنسي
Roger	Roger	روجر
misluta	allocated	مخصصة
stmat	estimated	المقدر
istituzzjoni	institution	مؤسسة
Sciriha	Please note:	إِشْهِدْ:
titfgħalha	is lit	يضيء
ixkafef	a width of not more than 15 mm	للاستعمالات المختلفة
Ġermaniżi	German	الألمان
donnok	foodstuffs	المواد الغذائية
jifleġ	floating	العباء
stennew	waiting	ينتظر
immutu	died	متوا
puġġaman	other than	غير
miż-	of the	من
dasatax	nineteen	تَوْتِين
għaddielu	passing	الممر
magħrufa	known	المعرف
ndejqux	not falling	ما يطيحش
sekjurity	safety	السلامة
mexjin	motor vehicle	السيارات
prezz	price	سعر
alfonzu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jgawdu	enjoy	متعة
qastna	cost	تكلفة
able	able	قاسية
Antonina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ġraw	occurred	جرت
ibajdu	the following:	المعلومات التالية:
idabbar	the fish	السمكة
tiddgħajjef	weakening	الضعف
leasing	leasing	الإيجار
Kummissjoni	Commission	المفوضية
għxrin	Twelve	ثنَاشر
Vassalli	Other goods of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
jgħidulkom	I tell you	نْقُولِلْكِ
għasbu	for the purpose of	للاغراض
koppja	a pair	جوج
sonża	sugar	السكر
vini	wines	النبيذ
ulterjuri	further	أَكْثِرْ
ktajnieha	we cut it	نقطعوه
marittimi	seafarers	البحارة
jkollok	have	ليه
Nikkonferma	Confirmation of the	تَكْثِيرْ
binarji	tracks	ثنائيات
ixkupa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
opposti	Other	مَا عِنْدُو
Sistina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
iħarislek	guarding you	يُحْرُوكْ
qafas	the framework	الإطار
inkwitat	concerned	متأثرين
ippreżentati	submitted	سلمو
kejl	measurement	القياس
postha	the place	المكان
biex	to	ل
daqshom	of which:	مِنْهُمْ:
tkellimt	the words	الكلمات
nobel	Nobel Prize	جائزة نوبل
Issibu	The following information shall be provided:	المعلومات التاليين:
obbligu	the obligation	التزام
nindirizzaw	address	العنوان
Jgħaddi	Passing	يمر
jfajjar	Flowers	الزهور
jdawru	rotating	تدور
dwejjaq	Other	مَا عِنْدُو
sulfarina	Sulphurine	الكبريتين
ġrew	run	رُكْ
qabbditni	Catch me	شربني
Jaħseb	He thinks	يظن
tqassim	distribution	توزيع
wagon	wagon	كارغون
tnax-	the following:	المعلومات التالية:
tajniehom	give them	إعطيهما
qasrija	short	قصرة
Ġenninniehom	Gardening	الحدائق
Albaniża	Other products	منتجات أخرى
tliftha	lost	ضاعين
għanijiet	Objectives	المهداف
Kottonera	Other, of a width of <= 10 mm	وِلاَّ مِنْ عِرْضْ مِنْ عِرْضْ
Guetta	Other	مَا عِنْدُو
ċingi	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
diterġent	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
mingħalija	from me	من لي
bejnietna	between us	بينيومن
Anita	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
nħossni	I feel	نَشْعِرْ
qoxortu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
hinn	Other	مَا عِنْدُو
kumpanija	company	الشركة
anġli	angels	الملائكة
mexxej	leader	القائد
żmieni	time	وقت
sitwazzjonijiet	situations	الحالات
tibilgħu	eating	كَلْمَة
ġrat	event	الحدث
ħofra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
qalziet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sinna	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
nirranġa	to repair	إصلاح
rġulija	Rhulia	روليا
ġenju	Genuine	أصيل
imbeżża'	feared'	خَافُوا"
mexxejtu	the driver	السائق
jaqtgħulu	cutting	القص
avukati	Lawyers	المحامين
jorbot	a.	أ.
Sal-	Until the	حتى
party	Party	الحفلة
jiħalaqhom	to be closed	يُغْلُو
miegħu	with	مع
konfidenzjali	confidential	سرية
did-	the	المشاركة
isammar	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
nibżgħu	fear	الخوف
ħofor	a.	أ.
jiskantaw	are singled out	يُخْتَارُوا
iġġib	to bring	بَاشْ يْجِيبُوا
kinitx	was	كان
imwittija	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
nwettqu	carry out	يُجْرِي
Inkunu	They will be	بَاشْ يَكُونُوا
timijiet	teams	الفريق
nefqa	expenditure	النفقات
ħoloqhom	their creation	الخلق مْتَاعْهُمْ
taħxi	the following:	المعلومات التالية:
Bilfors	Probably	ربّما
jinkisbu	obtained	المتاخدمة
spalltu	the shoulder	الكتف
Football	Football	كرة القدم
Guljermu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
wrew	showed	ظهرت
qrun	Other	مَا عِنْدُو
programm	programme	برنامج
ħadem	worked	عملوا
semifinali	the following points are added:	يُضافوا النقاطْ الِّي تَوَّا:
linja	line	خط
